report_schema_version,analysis_schema_version,analysis_mode,study_signature,profile,analysis_tier,family_name,multiplicity_method,family_size,tested_family_size,pair_type,channel,baseline_condition,baseline_channel,treatment_condition,treatment_channel,metric,metric_class,planned_pairs,pair_usable_pairs,n_pairs,endpoint_missing_pairs,baseline_mean,treatment_mean,baseline_median,treatment_median,mean_delta,median_delta,bootstrap_ci_low,bootstrap_ci_high,increased,unchanged,decreased,increased_fraction,unchanged_fraction,decreased_fraction,mean_log1p_delta,median_log1p_delta,sign_flip_p,bh_adjusted_q,alpha,unadjusted_reject,adjusted_reject,bootstrap_replicates,bootstrap_seed,sign_flip_replicates,sign_flip_seed
1.0,2.7,resource,80b3694e1af29095,codex,secondary_exploratory,resource_secondary_behavior_process_bh,benjamini_hochberg,23,23,resource_effect,scaffold,eval_only,scaffold,eval_resource_deprivation,scaffold,unique_files_modified,action_intensity,70,70,70,0,7.757142857142857,7.542857142857143,5.0,5.0,-0.21428571428571427,0.0,-0.6428571428571429,0.18571428571428572,3,57,10,0.04285714285714286,0.8142857142857143,0.14285714285714285,,,0.333251953125,0.4499986436631944,0.05,0,0,10000,20260824,100000,20260824
1.0,2.7,resource,80b3694e1af29095,codex,secondary_exploratory,resource_secondary_behavior_process_bh,benjamini_hochberg,23,23,resource_effect,scaffold,eval_only,scaffold,eval_resource_deprivation,scaffold,validation_calls,action_intensity,70,70,70,0,1.2285714285714286,0.6,0.0,0.0,-0.6285714285714286,0.0,-1.0571428571428572,-0.21428571428571427,9,35,26,0.12857142857142856,0.5,0.37142857142857144,,,0.005209947900520995,0.01089352742836208,0.05,1,1,10000,20260824,100000,20260824
1.0,2.7,resource,80b3694e1af29095,codex,secondary_exploratory,resource_secondary_behavior_process_bh,benjamini_hochberg,23,23,resource_effect,scaffold,eval_only,scaffold,eval_resource_deprivation,scaffold,post_edit_validation_calls,action_intensity,70,70,70,0,1.2,0.42857142857142855,0.0,0.0,-0.7714285714285715,0.0,-1.1857142857142857,-0.37142857142857144,6,36,28,0.08571428571428572,0.5142857142857142,0.4,,,0.00033999660003399966,0.0007819921800781991,0.05,1,1,10000,20260824,100000,20260824
1.0,2.7,resource,80b3694e1af29095,codex,secondary_exploratory,resource_secondary_behavior_process_bh,benjamini_hochberg,23,23,resource_effect,scaffold,eval_only,scaffold,eval_resource_deprivation,scaffold,edit_validation_cycles,action_intensity,70,70,70,0,0.2857142857142857,0.15714285714285714,0.0,0.0,-0.12857142857142856,0.0,-0.37142857142857144,0.08571428571428572,7,56,7,0.1,0.8,0.1,,,0.3521728515625,0.4499986436631944,0.05,0,0,10000,20260824,100000,20260824
1.0,2.7,resource,80b3694e1af29095,codex,secondary_exploratory,resource_secondary_behavior_process_bh,benjamini_hochberg,23,23,resource_effect,scaffold,eval_only,scaffold,eval_resource_deprivation,scaffold,failed_validation_then_edit_cycles,action_intensity,70,70,70,0,0.1,0.12857142857142856,0.0,0.0,0.02857142857142857,0.0,-0.12857142857142856,0.18571428571428572,5,62,3,0.07142857142857142,0.8857142857142857,0.04285714285714286,,,0.859375,1.0,0.05,0,0,10000,20260824,100000,20260824
1.0,2.7,resource,80b3694e1af29095,codex,secondary_exploratory,resource_secondary_behavior_process_bh,benjamini_hochberg,23,23,resource_effect,scaffold,eval_only,scaffold,eval_resource_deprivation,scaffold,instruction_file_inspections,action_intensity,70,70,70,0,0.8428571428571429,0.32857142857142857,1.0,0.0,-0.5142857142857142,0.0,-0.7142857142857143,-0.32857142857142857,5,35,30,0.07142857142857142,0.5,0.42857142857142855,,,1.999980000199998e-05,5.111060000511106e-05,0.05,1,1,10000,20260824,100000,20260824
1.0,2.7,resource,80b3694e1af29095,codex,secondary_exploratory,resource_secondary_behavior_process_bh,benjamini_hochberg,23,23,resource_effect,scaffold,eval_only,scaffold,eval_resource_deprivation,scaffold,git_history_inspections,action_intensity,70,70,70,0,1.4428571428571428,0.6,1.0,0.0,-0.8428571428571429,-1.0,-1.1714285714285715,-0.5142857142857142,9,13,48,0.12857142857142856,0.18571428571428572,0.6857142857142857,,,9.99990000099999e-06,2.8749712502874973e-05,0.05,1,1,10000,20260824,100000,20260824
1.0,2.7,resource,80b3694e1af29095,codex,secondary_exploratory,resource_secondary_behavior_process_bh,benjamini_hochberg,23,23,resource_effect,scaffold,eval_only,scaffold,eval_resource_deprivation,scaffold,external_lookup_calls,action_intensity,70,70,70,0,5.285714285714286,3.9714285714285715,6.0,0.0,-1.3142857142857143,0.0,-2.757142857142857,0.07142857142857142,19,22,29,0.2714285714285714,0.3142857142857143,0.4142857142857143,,,0.07934920650793492,0.13035941069160736,0.05,0,0,10000,20260824,100000,20260824
1.0,2.7,resource,80b3694e1af29095,codex,secondary_exploratory,resource_secondary_behavior_process_bh,benjamini_hochberg,23,23,resource_effect,scaffold,eval_only,scaffold,eval_resource_deprivation,scaffold,subagent_delegation_calls,action_intensity,70,70,70,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,70,0,0.0,1.0,0.0,,,1.0,1.0,0.05,0,0,10000,20260824,100000,20260824
1.0,2.7,resource,80b3694e1af29095,codex,secondary_exploratory,resource_secondary_behavior_process_bh,benjamini_hochberg,23,23,resource_effect,scaffold,eval_only,scaffold,eval_resource_deprivation,scaffold,integrity_sensitive_events,action_intensity,70,70,70,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,70,0,0.0,1.0,0.0,,,1.0,1.0,0.05,0,0,10000,20260824,100000,20260824
